,Timestamp,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,ETr,ETo,refET,Mesonet ET
51,2023-02-21,11.328695999999999,8.5,-3.93,0.5253333333333333,-2.1783333333333332,0.933,0.585,1.3062500000000001,0.51,1.6500000000000001,1.39,1.3547038881861377,1.39
52,2023-02-22,8.194464,-3.53,-21.48,0.16075,-17.980833333333333,0.895,0.677,4.8475,0.25,0.52,0.39,0.416953146753431,0.39
53,2023-02-23,16.361136,-14.3,-24.71,0.090375,-24.096249999999998,0.774,0.471,1.0045833333333334,0.0,0.78,0.68,0.6842710331949551,0.68
54,2023-02-24,17.482572,-6.03,-19.58,0.17025,-16.765833333333333,0.843,0.559,1.2904166666666665,0.25,1.1500000000000001,1.0,0.9800399106445628,1.0
55,2023-02-25,16.537932,6.0,-14.09,0.35191666666666666,-8.52,0.871,0.507,1.365,0.0,1.9200000000000002,1.61,1.5882513003338101,1.61
56,2023-02-26,13.188816000000001,9.94,-5.16,0.482875,-3.4179166666666667,0.919,0.497,1.6170833333333334,0.0,2.19,1.8699999999999999,1.824812491236683,1.8699999999999999
57,2023-02-27,18.03906,11.19,-1.25,0.3834583333333333,-6.299166666666667,0.841,0.275,2.51625,0.0,3.93,3.04,3.00441751624149,3.04
58,2023-02-28,17.876448,8.88,-4.17,0.36720833333333336,-7.055833333333333,0.915,0.324,3.8575,0.0,3.3,2.42,2.3991672951596756,2.42
59,2023-03-01,7.485552,0.19,-6.55,0.34662499999999996,-7.803333333333334,0.905,0.331,2.40375,0.25,1.09,0.8,0.7895138659373824,0.8
60,2023-03-02,18.365256,5.43,-7.11,0.4077916666666667,-5.546666666666667,0.874,0.503,1.2625,0.0,2.18,1.88,1.8593935103821837,1.88
61,2023-03-03,10.387404,8.77,-3.34,0.484375,-3.2070833333333333,0.949,0.336,1.26125,0.0,1.7100000000000002,1.39,1.389720497338176,1.39
62,2023-03-04,13.522788,1.89,-4.81,0.39395833333333335,-6.154166666666666,0.959,0.503,2.8441666666666667,0.0,1.92,1.49,1.4828399483702817,1.49
63,2023-03-05,18.655596,12.17,-4.39,0.41641666666666666,-5.287083333333333,0.923,0.282,3.2079166666666663,0.0,3.4,2.6999999999999997,2.676343216580712,2.6999999999999997
64,2023-03-06,18.923832,3.01,-4.89,0.39658333333333334,-5.840833333333333,0.89,0.539,3.1983333333333337,0.0,2.37,1.84,1.8247700296388658,1.84
65,2023-03-07,8.993484,2.56,-3.64,0.45333333333333337,-4.04625,0.95,0.554,1.94625,0.25,0.9400000000000001,0.86,0.8318034222038313,0.86
66,2023-03-08,13.170816,2.39,-3.18,0.46599999999999997,-3.6833333333333336,0.934,0.602,3.970833333333333,0.0,1.73,1.35,1.3244342205395996,1.35
67,2023-03-09,19.430748,12.12,-2.17,0.4041666666666666,-6.051666666666667,0.931,0.155,3.5541666666666667,0.0,4.2,3.07,3.0929755644869346,3.07
68,2023-03-10,13.335732,8.78,-3.74,0.5060833333333333,-2.6266666666666665,0.926,0.466,1.6866666666666665,0.0,2.1,1.7,1.6994954507022257,1.7
69,2023-03-11,17.969328,14.64,-0.58,0.33375,-9.064583333333333,0.858,0.116,5.427916666666667,0.0,5.84,4.04,4.033704174960199,4.04
70,2023-03-12,18.762515999999998,5.13,-6.46,0.3300416666666667,-8.214166666666666,0.831,0.335,1.9416666666666667,0.0,2.54,2.15,2.137441978086395,2.15
71,2023-03-13,19.57014,10.59,-6.85,0.378625,-6.504166666666666,0.842,0.32,1.765,0.0,3.16,2.5500000000000003,2.5272143718743467,2.5500000000000003
72,2023-03-14,17.15454,16.95,-5.42,0.39445833333333336,-6.015000000000001,0.88,0.15,1.295,0.0,3.58,2.85,2.824110620234343,2.85
73,2023-03-15,16.217676,21.25,-0.04,0.5092916666666667,-2.762916666666667,0.803,0.186,2.81625,1.52,4.73,3.6300000000000003,3.612914469349944,3.6300000000000003
74,2023-03-16,18.68004,3.74,-3.63,0.329875,-8.487916666666667,0.808,0.317,7.5475,0.0,3.7199999999999998,2.62,2.6213643714755714,2.62
75,2023-03-17,21.493188,5.87,-7.62,0.22824999999999998,-13.33875,0.763,0.136,4.54,0.0,4.23,3.03,3.044679334380784,3.03
76,2023-03-18,21.953304,8.05,-9.35,0.19445833333333332,-15.264583333333334,0.781,0.114,2.7954166666666667,0.0,4.24,3.15,3.1196360648494235,3.15
77,2023-03-19,21.986532,13.18,-11.29,0.19245833333333331,-15.1025,0.732,0.09,1.28625,0.0,4.0200000000000005,3.23,3.2009320805503925,3.23
78,2023-03-20,16.663284,13.9,-3.81,0.29725,-9.571250000000001,0.683,0.165,2.5570833333333334,0.0,4.7,3.38,3.2822900052640396,3.38
79,2023-03-21,19.02942,14.51,-1.1,0.27879166666666666,-10.745416666666666,0.648,0.098,3.2291666666666665,0.0,5.62,4.08,4.070462471623347,4.08
80,2023-03-22,7.626276,5.3,-2.34,0.44125,-4.78125,0.953,0.317,1.8158333333333332,1.78,1.43,1.1,1.113513362273163,1.1
81,2023-03-23,16.881192,10.53,-0.39,0.5243333333333333,-2.29375,0.956,0.269,2.7554166666666666,0.0,3.4,2.64,2.658089167880243,2.64
82,2023-03-24,15.540732,10.86,-4.84,0.414,-5.702083333333333,0.948,0.19,1.7066666666666668,0.0,3.34,2.63,2.6253838710913375,2.63
83,2023-03-25,16.65216,4.74,-4.26,0.28991666666666666,-10.424583333333333,0.944,0.224,4.278333333333333,0.0,3.38,2.52,2.5346068266026314,2.52
84,2023-03-26,22.592592,5.76,-9.03,0.23058333333333333,-13.083333333333334,0.803,0.161,1.9991666666666665,0.0,3.32,2.69,2.7018382441673006,2.69
85,2023-03-27,18.182592,-0.02,-11.03,0.34270833333333334,-8.154583333333333,0.949,0.495,4.568333333333333,1.27,2.0100000000000002,1.54,1.5056404339781428,1.54
86,2023-03-28,23.323932,3.3,-17.92,0.290125,-11.338333333333333,0.811,0.508,2.2879166666666664,0.0,2.49,2.12,2.0638955969980617,2.12
87,2023-03-29,19.797048,3.08,-4.91,0.4230833333333333,-5.0495833333333335,0.889,0.664,2.5725000000000002,0.0,2.09,1.73,1.7039299040819573,1.73
88,2023-03-30,19.769832,16.03,-4.16,0.5195833333333334,-2.3820833333333336,0.957,0.33,1.79375,0.0,3.35,2.81,2.704886489275546,2.81
89,2023-03-31,18.071892,10.07,1.77,0.313625,-9.001666666666667,0.686,0.22,6.402083333333334,0.0,5.76,4.07,4.012665108194907,4.07
90,2023-04-01,24.17328,18.58,-3.73,0.29725,-9.664583333333333,0.747,0.11,2.315,0.0,5.53,4.37,4.343047114456225,4.37
91,2023-04-02,25.238124,20.94,2.92,0.325375,-8.727916666666667,0.577,0.109,3.36875,0.0,7.61,5.7,5.67271851926872,5.7
92,2023-04-03,16.381548,14.1,-1.35,0.47983333333333333,-3.313333333333333,0.803,0.306,5.12125,0.0,4.29,3.1,3.084777378729032,3.1
93,2023-04-04,14.103792,0.4,-6.13,0.385,-6.348333333333333,0.892,0.615,5.5370833333333325,1.27,1.56,1.22,1.22989904812776,1.22
94,2023-04-05,23.561244,5.51,-9.1,0.28795833333333337,-10.067916666666667,0.807,0.273,1.925,0.0,3.31,2.76,2.744290614627656,2.76
95,2023-04-06,25.116912,10.46,-6.27,0.28954166666666664,-10.62,0.921,0.114,1.2770833333333333,0.0,4.21,3.42,3.3745827411701232,3.42
96,2023-04-07,25.566372,19.45,-5.89,0.28354166666666664,-10.16375,0.757,0.101,1.6433333333333333,0.0,5.38,4.27,4.2584755275677475,4.27
97,2023-04-08,15.974172,20.36,-1.11,0.412625,-5.48,0.735,0.124,1.5158333333333334,0.0,4.65,3.63,3.608131613215839,3.63
98,2023-04-09,23.857812,20.79,-0.41,0.47370833333333334,-3.5979166666666664,0.795,0.151,1.7020833333333334,0.0,5.48,4.48,4.440052967141898,4.48
99,2023-04-10,25.570044,23.85,-0.38,0.46008333333333334,-3.9125,0.775,0.13,1.0758333333333334,0.0,5.58,4.54,4.482636104441954,4.54
100,2023-04-11,26.226504,28.59,1.11,0.41220833333333334,-5.6000000000000005,0.704,0.073,1.5533333333333335,0.0,7.09,5.57,5.502073944881445,5.57
101,2023-04-12,22.856364,29.16,3.62,0.4299583333333334,-4.79875,0.559,0.089,1.9179166666666667,0.0,7.28,5.52,5.479950060892186,5.52
102,2023-04-13,13.812624,25.37,10.33,0.5022916666666667,-2.9754166666666664,0.493,0.111,2.41375,0.0,6.04,4.38,4.389053899685756,4.38
103,2023-04-14,5.023296,11.94,0.73,0.5701666666666666,-0.9833333333333334,0.936,0.344,4.3325000000000005,2.04,1.82,1.32,1.3185707805167333,1.32
104,2023-04-15,19.61892,9.97,-1.21,0.4147083333333333,-5.807083333333334,0.953,0.194,3.93625,0.25,4.6,3.28,3.2884728403809187,3.28
105,2023-04-16,26.69184,16.71,-5.64,0.338625,-7.9325,0.82,0.148,1.5420833333333333,0.0,5.33,4.2700000000000005,4.245247125950049,4.2700000000000005
106,2023-04-17,26.580996,23.01,-2.87,0.356875,-7.354583333333333,0.737,0.096,1.7091666666666667,0.0,6.68,5.24,5.189605341816996,5.24
107,2023-04-18,21.136104,24.79,1.99,0.38104166666666667,-6.5929166666666665,0.57,0.076,3.0370833333333334,0.0,7.37,5.48,5.289076290998562,5.48
108,2023-04-19,16.111296,13.93,2.04,0.45612499999999995,-4.300833333333333,0.862,0.24,4.755833333333333,2.2800000000000002,4.35,3.22,3.19123668575187,3.22
109,2023-04-20,24.632388,9.84,-0.8,0.2065,-14.106250000000001,0.364,0.159,6.151666666666667,0.25,6.86,4.81,4.820855863731187,4.81
110,2023-04-21,13.768236,8.31,-0.98,0.33466666666666667,-9.16,0.947,0.161,2.9758333333333336,0.76,3.58,2.7,2.6978608102093067,2.7
111,2023-04-22,16.485732,5.07,-4.12,0.40595833333333337,-5.530833333333334,0.808,0.461,0.8591666666666667,0.25,2.17,1.85,1.8247828629338811,1.85
112,2023-04-23,27.062964,13.52,-7.05,0.3855,-6.2941666666666665,0.874,0.224,1.3816666666666666,0.0,4.66,3.91,3.8770555100556727,3.91
113,2023-04-24,25.3053,18.74,-0.41,0.40170833333333333,-5.81,0.632,0.15,1.8529166666666665,0.0,5.81,4.69,4.689519445842558,4.69
114,2023-04-25,11.23056,10.64,5.51,0.8654166666666666,4.849583333333333,0.932,0.577,4.4558333333333335,18.29,1.98,1.58,1.5781130755091763,1.58
115,2023-04-26,21.944339999999997,13.81,5.48,0.8260833333333334,4.215416666666667,0.935,0.481,1.9245833333333333,1.52,3.93,3.31,3.319512147700118,3.31
116,2023-04-27,18.682164,19.46,3.93,0.6949166666666667,1.6108333333333336,0.933,0.197,4.422916666666667,0.0,5.97,4.3,4.288998955499204,4.3
117,2023-04-28,23.783939999999998,15.13,2.25,0.48258333333333336,-3.3000000000000003,0.724,0.225,4.678333333333334,0.0,6.39,4.63,4.60723484660643,4.63
118,2023-04-29,22.369068,21.73,4.83,0.5981666666666666,-0.3525,0.731,0.207,2.735,0.0,7.39,5.34,5.297170390748575,5.34
119,2023-04-30,27.772236,18.49,3.49,0.5800416666666667,-0.7733333333333333,0.793,0.254,1.8670833333333334,0.0,6.01,4.91,4.866862547379467,4.91
120,2023-05-01,27.517464,19.89,2.91,0.6317083333333333,-0.2591666666666667,0.939,0.243,2.3179166666666666,0.0,4.79,4.14,4.106614038705506,4.14
121,2023-05-02,24.412572,21.93,6.01,0.6287916666666666,0.245,0.573,0.214,4.1825,0.0,8.14,5.91,5.821619361033459,5.91
122,2023-05-03,23.04576,26.08,6.01,0.6893750000000001,1.2916666666666667,0.804,0.127,1.4775,0.0,6.12,4.84,4.824999276361382,4.84
123,2023-05-04,19.389456,23.59,8.15,0.8755000000000001,4.926666666666667,0.823,0.224,2.6354166666666665,0.25,5.83,4.53,4.533925794774405,4.53
124,2023-05-05,22.217868,23.32,7.9,0.7948333333333334,3.500833333333333,0.794,0.178,2.6266666666666665,0.0,7.32,5.47,5.469462765032838,5.47
125,2023-05-06,25.8354,22.12,3.02,0.5088750000000001,-3.139583333333333,0.826,0.117,2.3345833333333332,0.0,7.45,5.64,5.66738197752769,5.64
126,2023-05-07,23.16726,19.36,8.12,0.5962083333333333,-0.5041666666666667,0.498,0.271,2.4483333333333333,0.0,6.23,4.85,4.8226023626033605,4.85
127,2023-05-08,25.11846,23.5,-999.0,0.5641666666666666,-206.03625,0.792,-999.0,2.9454166666666666,0.25,6.69,5.12,3.5518241728826845,5.12
128,2023-05-09,29.052144,24.59,7.04,0.9899166666666667,6.712083333333333,0.84,0.292,3.3845833333333335,2.03,8.17,6.38,6.343191694845145,6.38
129,2023-05-10,9.118548,17.16,8.0,1.1575416666666667,9.039583333333333,0.898,0.666,2.0833333333333335,26.919999999999998,2.09,1.76,1.739461099100844,1.76
130,2023-05-11,4.227444,11.96,9.87,1.159875,9.149166666666666,0.937,0.853,2.967916666666667,34.56,1.12,0.89,0.8742075744466374,0.89
131,2023-05-12,18.012888,15.13,9.65,0.9994999999999999,6.95625,0.887,0.581,6.059166666666666,22.35,4.39,3.29,3.2695978861519714,3.29
132,2023-05-13,18.053712,16.33,9.56,1.019375,7.212083333333333,0.826,0.559,3.984583333333333,0.0,4.56,3.48,3.4562744020412874,3.48
133,2023-05-14,10.694268,14.82,10.17,1.1705833333333333,9.262500000000001,0.925,0.765,3.1320833333333336,5.83,2.31,1.86,1.845052165193166,1.86
134,2023-05-15,13.130063999999999,16.41,9.78,1.1151666666666666,8.57375,0.922,0.566,1.1125,0.25,2.61,2.29,2.303996565807728,2.29
135,2023-05-16,25.458552,25.44,6.21,1.0912916666666665,8.162083333333333,0.942,0.281,1.6504166666666666,0.51,6.38,5.24,5.227740903365453,5.24
136,2023-05-17,27.708408,25.88,8.4,1.07575,7.964166666666666,0.922,0.267,1.4974999999999998,0.25,6.62,5.61,5.524147873947367,5.61
137,2023-05-18,12.819312,18.55,10.43,1.2547916666666665,10.320833333333333,0.933,0.612,1.9124999999999999,1.26,2.87,2.37,2.3145436430757207,2.37
138,2023-05-19,16.448976,16.84,9.28,1.0796666666666666,8.064583333333333,0.925,0.516,1.9608333333333334,0.0,3.46,2.92,2.853577135979528,2.92
139,2023-05-20,22.808087999999998,21.48,8.18,1.1121666666666667,8.514583333333333,0.916,0.405,1.14125,0.0,4.78,4.14,4.065034428272413,4.14
140,2023-05-21,29.56932,24.61,8.4,0.9347916666666666,5.790416666666666,0.92,0.218,1.4825,0.0,7.43,6.0200000000000005,5.939392197982647,6.0200000000000005
141,2023-05-22,24.436187999999998,24.1,8.87,0.9812500000000001,6.617083333333333,0.837,0.267,1.3375000000000001,0.0,6.13,5.0,4.9517205634774655,5.0
142,2023-05-23,24.961608,24.92,9.79,1.2123333333333333,9.721666666666666,0.92,0.313,2.0791666666666666,0.25,6.65,5.4,5.36023760483518,5.4
143,2023-05-24,15.287723999999999,19.73,11.16,1.3903333333333334,11.830416666666666,0.953,0.647,1.9208333333333334,0.76,3.25,2.78,2.7564713758482005,2.78
144,2023-05-25,26.41536,24.17,9.94,1.2139166666666668,9.817916666666667,0.927,0.409,2.6733333333333333,0.0,7.06,5.56,5.523889890030439,5.56
145,2023-05-26,18.258516,23.58,11.24,1.306,10.924166666666666,0.944,0.473,2.61,15.74,4.71,3.77,3.743398404822799,3.77
146,2023-05-27,23.096124,24.28,10.35,1.292,10.664166666666667,0.951,0.453,2.9033333333333338,0.76,5.83,4.76,4.710432929820543,4.76
147,2023-05-28,26.05662,22.96,9.08,1.2267083333333333,9.97125,0.942,0.412,1.6983333333333333,0.51,6.03,5.03,4.932881474379701,5.03
148,2023-05-29,28.334196,27.42,10.5,1.1476666666666666,8.880416666666667,0.929,0.215,1.4316666666666666,0.0,7.05,5.85,5.758152596978363,5.85
149,2023-05-30,29.1402,26.56,10.18,1.089375,8.0525,0.874,0.221,2.0654166666666667,1.52,7.9799999999999995,6.34,6.286592549145446,6.34
150,2023-05-31,20.802024,25.7,9.54,1.1864999999999999,9.484583333333333,0.93,0.3,2.64875,4.82,5.48,4.3,4.217270793874962,4.3
151,2023-06-01,21.162996,22.57,10.68,1.239125,10.10625,0.899,0.402,1.9025,0.25,5.0,4.19,4.116508267146747,4.19
152,2023-06-02,22.052411999999997,20.63,12.25,1.191,9.5,0.882,0.401,1.6829166666666666,2.79,5.01,4.24,4.1617464698260624,4.24
153,2023-06-03,12.975335999999999,18.14,12.47,1.319875,11.075000000000001,0.904,0.573,0.7670833333333333,10.149999999999999,2.42,2.16,2.1039365505383927,2.16
154,2023-06-04,12.925692,18.62,13.87,1.4595,12.612916666666665,0.929,0.667,2.0016666666666665,8.629999999999999,2.66,2.21,2.1394050828167157,2.21
155,2023-06-05,23.604983999999998,22.3,12.43,1.433625,12.344999999999999,0.951,0.532,2.13875,8.89,5.26,4.31,4.252282179537779,4.31
156,2023-06-06,29.004192,25.08,9.94,1.3793750000000002,11.703333333333333,0.947,0.416,1.2004166666666667,0.0,6.54,5.58,5.527527202969225,5.58
157,2023-06-07,29.185488,25.59,11.64,1.3495833333333334,11.389166666666666,0.916,0.364,1.6091666666666666,0.0,7.31,6.06,5.993381451622558,6.06
158,2023-06-08,27.80604,25.62,12.44,1.2662083333333334,10.427916666666667,0.84,0.323,1.455,0.0,6.67,5.63,5.586229554158495,5.63
159,2023-06-09,21.02796,26.89,13.93,1.2231666666666667,9.872083333333334,0.884,0.265,1.7758333333333332,6.85,5.95,4.78,4.749861726771477,4.78
160,2023-06-10,24.048612,24.74,10.33,1.1945,9.555,0.914,0.338,1.5141666666666664,0.0,6.01,5.01,4.9619664691463745,5.01
161,2023-06-11,14.683931999999999,19.67,10.38,1.27125,10.476666666666667,0.905,0.536,1.9645833333333333,12.19,3.84,3.13,3.104187719842138,3.13
